channel_name,channel_address,subscribers_num
Mochipeach,https://www.youtube.com/channel/UCOiM8FuCUFJkuUjCmB14rgg,897059
뷰티학개론 Beautiology,https://www.youtube.com/channel/UCjOslp-74AgL4gaUWvojZbw,661544
다영 DAYEONG,https://www.youtube.com/user/adrenallingb,575595
UNA 유나,https://www.youtube.com/channel/UC81bxgGwnjeN7pLPJFci9uw,551338
Beautifymeeh 뷰티파이미,https://www.youtube.com/user/beautifymeeh,512365
딩고 뷰티 / dingo beauty,https://www.youtube.com/channel/UCMWjW6pofWn1f988jGd4-xw,385382
DaDa뷰티,https://www.youtube.com/channel/UCoyyHn7IvRY0psS42aw7Wpw,244888
HOONION,https://www.youtube.com/channel/UC3ZQbE9FKR8TwHYqTNcIXQQ,135876
Soo Beauty 수뷰티,https://www.youtube.com/channel/UCXuzhVKNO9ZLm1q7edeipIw,134595
Beauty Canvas - 뷰티 캔버스,https://www.youtube.com/channel/UCaI59uxCHqcErUeptL531Ow,61112
룰루랄라 뷰티-lululala beauty,https://www.youtube.com/channel/UCcNVDWMcB6p_x3zxyjtVIXA,41278
묘빵뷰티,https://www.youtube.com/channel/UCIytrVQi0nVfJybhOb756Og,39204
엠마뷰티 EMMA BEAUTY,https://www.youtube.com/channel/UCZhop6rsh6d0Fy9g38I6Ekg,23394
일반인들의 리얼뷰티,https://www.youtube.com/channel/UCbq8eC1BqEOMTvaiTqEAboQ,17554
오즈뷰티 OZ Beauty,https://www.youtube.com/channel/UCut8kPBK7vKiMJ2xpu81q8g,12223
뷰티포인트,https://www.youtube.com/channel/UC5tFmE4Z5X2sAtp4tNkjOfA,11103
진진뷰티[JINJIN BEAUTY],https://www.youtube.com/channel/UCuWfKC9QrZTs5tWhY0kRA5A,750
탑스뷰티,https://www.youtube.com/channel/UCv_Xc0A_Cl9---Ckvx10OTg,25
여성소자본창업센터[쉬즈엔뷰티],https://www.youtube.com/channel/UC4DYB7FCkRSALADKOjEMJ3Q,20
람쥐센세의 뷰티수련원,https://www.youtube.com/channel/UCLnzHFj-1neG_RwCry_189Q,13
뷰티앤뷰채널,https://www.youtube.com/channel/UCjtSoO4bSHNViyjUbOIi6UQ,12
세종뷰티TV,https://www.youtube.com/channel/UCvlz1PyfWHOms_RslVRdlrQ,7
요로케홈뷰티,https://www.youtube.com/channel/UCrDcdLMUqz6F25aBo9qC7mQ,5
반영구.피부실전창업TJ천진뷰티아카데미,https://www.youtube.com/channel/UCJVxYm3wg6FT7RamWq4AoEg,5
뷰티앤부티 시즌3,https://www.youtube.com/channel/UC4f3wmVRxNCH1-psmAq_EdA,2
뷰티라인성형외과,https://www.youtube.com/channel/UCnHogCSMHZe0xOk2lsViDUQ,1
뷰티나인,https://www.youtube.com/channel/UCyVIBBceaZFtc9fdsBiW_3w,0
뷰티203의원,https://www.youtube.com/channel/UC7nfm7_XEFeFkFfb6Gd3U4A,0
채뷰티 ChaeBeauty,https://www.youtube.com/channel/UCImkt4JOjlhqIoPuwnuKlBA,0
리모뷰티,https://www.youtube.com/channel/UCDeeASDCv4-ySxZF0qD8PkQ,0
